rho,instances,n_negative_gi,n_positive_gi,robust_auc,conv_auc
0.05,65,31,34,0.8908918406072106,0.9013282732447818
0.1,65,31,34,0.8738140417457305,0.9013282732447818
0.2,65,31,34,0.881404174573055,0.9013282732447818
0.3,65,31,34,0.889943074003795,0.9013282732447818
