gene_a,gene_b,guide_a,guide_b,m_a0,m_0b,m_ab,mu,delta,rho_star,n_double,n_single_a,n_single_b,noise,lower_0.05,upper_0.05,sign_0.05,lower_0.1,upper_0.1,sign_0.1,lower_0.2,upper_0.2,sign_0.2,lower_0.3,upper_0.3,sign_0.3
BCL2L1,MCL1,1171994543,914758331,0.19107404301139466,0.9967536212725142,-0.8128563753123115,0.9494587503608551,-1.051225289235365,1.304768443435294,1,2,2,0.238658101416142,-1.330167369564563,-0.7722832089061671,NEGATIVE,-1.370451348477619,-0.7319992299931111,NEGATIVE,-1.4510193063037309,-0.6514312721669991,NEGATIVE,-1.531587264129843,-0.5708633143408872,NEGATIVE
BCL2L1,MCL1,1171994543,914758312,0.19107404301139466,0.7626212861121809,-1.255092281193036,0.9494587503608551,-1.2593288599557564,1.3323099032120096,1,2,2,0.238658101416142,-1.5452480699518052,-0.9734096499597076,NEGATIVE,-1.5925091785317118,-0.926148541379801,NEGATIVE,-1.6870313956915253,-0.8316263242199875,NEGATIVE,-1.7815536128513387,-0.737104107060174,NEGATIVE
BCL2L1,MCL1,1171994543,914758358,0.19107404301139466,0.5990398680554515,-1.234286190064974,0.9494587503608551,-1.074941350770965,0.9694605616361333,1,2,2,0.238658101416142,-1.3690396316698503,-0.7808430698720799,NEGATIVE,-1.4244798111525934,-0.7254028903893367,NEGATIVE,-1.53536017011808,-0.6145225314238503,NEGATIVE,-1.6462405290835664,-0.5036421724583638,NEGATIVE
BCL2L1,MCL1,1171994543,914758316,0.19107404301139466,0.7823807709051706,-0.3017894443723714,0.9494587503608551,-0.3257855079280816,0.3520244657866744,1,2,2,0.238658101416142,-0.6107167436844808,-0.04085427217168236,NEGATIVE,-0.6569898780247381,0.0054188621685749006,UNRESOLVED,-0.7495361467052526,0.09796513084908942,UNRESOLVED,-0.8420824153857671,0.19051139952960394,UNRESOLVED
BCL2L1,MCL1,1171994567,914758331,0.04575679374084588,0.9967536212725142,-1.175295037484814,0.9494587503608551,-1.2683467021373187,1.3337023483341564,1,2,2,0.238658101416142,-1.554554644930044,-0.9821387593445933,NEGATIVE,-1.6021044863066276,-0.9345889179680098,NEGATIVE,-1.6972041690597943,-0.8394892352148431,NEGATIVE,-1.792303851812961,-0.7443895524616763,NEGATIVE
BCL2L1,MCL1,1171994567,914758312,0.04575679374084588,0.7626212861121809,-1.278893151520124,0.9494587503608551,-1.1378124810122956,1.0433483276615128,1,2,2,0.238658101416142,-1.4309975534718717,-0.8446274085527194,NEGATIVE,-1.485524524515306,-0.7901004375092853,NEGATIVE,-1.5945784666021743,-0.6810464954224169,NEGATIVE,-1.7036324086890426,-0.5719925533355485,NEGATIVE
BCL2L1,MCL1,1171994567,914758358,0.04575679374084588,0.5990398680554515,-1.064231007055517,0.9494587503608551,-0.7595689184909591,0.6056584779675552,1,2,2,0.238658101416142,-1.0609330618533717,-0.45820477512854646,NEGATIVE,-1.1236391037996425,-0.3954987331822758,NEGATIVE,-1.2490511876921837,-0.27008664928973447,NEGATIVE,-1.374463271584725,-0.14467456539719314,NEGATIVE
BCL2L1,MCL1,1171994567,914758316,0.04575679374084588,0.7823807709051706,-0.5729440729560568,0.9494587503608551,-0.451622887241218,0.42177003138139924,1,2,2,0.238658101416142,-0.7438199854611447,-0.15942578902129134,NEGATIVE,-0.7973589822649294,-0.10588679221750663,NEGATIVE,-0.9044369758724988,0.001191201390062735,UNRESOLVED,-1.0115149694800682,0.1082691949976321,UNRESOLVED
BCL2L1,MCL1,1171994553,914758331,-0.3571239722717434,0.9967536212725142,-0.8992515113285869,0.9494587503608551,-0.5894224099685026,0.4353587154252839,1,2,2,0.238658101416142,-0.8957743910618574,-0.2830704288751477,NEGATIVE,-0.9634682707390704,-0.2153765491979348,NEGATIVE,-1.0988560300934962,-0.0799887898435091,NEGATIVE,-1.234243789447922,0.05539896951091661,UNRESOLVED
BCL2L1,MCL1,1171994553,914758312,-0.3571239722717434,0.7626212861121809,-1.481344928317342,0.9494587503608551,-0.9373834917969246,0.6276756535308886,1,2,2,0.238658101416142,-1.2507126025571302,-0.624054381036719,NEGATIVE,-1.325383611901194,-0.5493833716926553,NEGATIVE,-1.474725630589321,-0.40004135300452803,NEGATIVE,-1.6240676492774484,-0.2506993343164008,NEGATIVE
