gene_a,gene_b,lower,upper,sign,n_guide_pairs,rho
GSDMC,SLA,-0.5205730345094512,0.06415620305203473,UNRESOLVED,2,0.1
HAS2,SAMD12,-0.1753126337122025,0.02291615460353333,UNRESOLVED,2,0.1
HHLA1,RNF139,-0.09501522300487464,0.7174597559952058,UNRESOLVED,2,0.1
KCNK9,RAD21,-0.3795601193519246,0.24845492206427844,UNRESOLVED,2,0.1
KCNQ3,PTK2,-0.183676342501093,0.5405939654334648,UNRESOLVED,2,0.1
KHDRBS3,ST3GAL1,0.04484780470616856,0.5877137141687855,POSITIVE,2,0.1
KLHL38,POU5F1B,0.053217428925142696,0.7863292653889026,POSITIVE,2,0.1
LRRC6,PHF20L1,-0.31934640526691915,0.1995635099659938,UNRESOLVED,2,0.1
MAL2,OC90,-0.019771152291889416,0.29953296529947127,UNRESOLVED,2,0.1
MAP2K1,MAP2K2,0.48970238109816444,-0.751335519857981,POSITIVE,16,0.1
MED30,NSMCE2,0.3292083127098129,1.4736425003081641,POSITIVE,2,0.1
MRPL13,NDRG1,-0.5573459330018897,-0.3756519612746544,NEGATIVE,2,0.1
MTBP,MYC,0.7025756165119672,1.6046858678677158,POSITIVE,2,0.1
MTSS1,MTSS1,0.44260679746607806,0.8818792227363335,POSITIVE,1,0.1
PRMT1,PRMT5,1.3684926145151954,1.9181141061095166,POSITIVE,16,0.1
SIRPB1,TRPS1,-0.08975458343476256,0.15414905167409823,UNRESOLVED,2,0.1
AARD,ZNF572,-0.11588691239235305,0.32503538139341165,UNRESOLVED,2,0.2
ADCY8,AGO2,-0.024884312212022586,0.6033475560952113,UNRESOLVED,2,0.2
ANXA13,TRMT12,0.16515941345875407,0.8257601658473888,POSITIVE,2,0.2
ASAP1,ZHX2,-0.16062747614396755,0.5236970528960743,UNRESOLVED,2,0.2
ATAD2,ZHX1,0.10890773325697611,1.6486143731088094,POSITIVE,2,0.2
BCL2L1,MCL1,-0.7495361467052526,-0.8394892352148431,NEGATIVE,16,0.2
BRAF,EGFR,0.12372179091050484,-0.2643516735708651,POSITIVE,16,0.2
BRAF,ERBB2,-0.18768447390339782,-0.15425018029133408,NEGATIVE,16,0.2
BRAF,RBM14,0.9043206788315188,1.612094177788403,POSITIVE,8,0.2
C8orf76,ZFAT,-0.3367708092523283,0.028978688152102805,UNRESOLVED,2,0.2
CHRAC1,WDYHV1,0.02548850934724145,0.9597521835491932,POSITIVE,2,0.2
COL14A1,WASHC5,-0.4205625819613963,0.6956759258931355,UNRESOLVED,2,0.2
COL22A1,UTP23,-0.35817239670873624,1.4286825681551938,UNRESOLVED,2,0.2
COLEC10,TRIB1,0.03755112124986992,1.0418521533126799,POSITIVE,2,0.2
DENND3,TATDN1,0.07750538938640616,1.1616720632000423,POSITIVE,2,0.2
DEPTOR,TRAPPC9,-0.007307716022413313,0.7512702996722544,UNRESOLVED,2,0.2
DERL1,TNFRSF11B,-0.2161954744136454,0.7923959129121091,UNRESOLVED,2,0.2
DSCC1,TMEM71,-0.3616089135446864,0.412841844124062,UNRESOLVED,2,0.2
EFR3A,TMEM65,-0.13181932667183938,0.7527284389341417,UNRESOLVED,2,0.2
EIF3H,TG,-0.16828763922747414,0.7745617143728574,UNRESOLVED,2,0.2
ENPP2,TAF2,-0.3730098888114438,0.6814877978899166,UNRESOLVED,2,0.2
EXT1,TBC1D31,-0.48751769269548484,0.3482892920202971,UNRESOLVED,2,0.2
FAM135B,PTP4A3,-0.4931563254586018,0.19037392340394232,UNRESOLVED,2,0.2
FAM83A,SQLE,-0.14090878351155217,0.3898417897160192,UNRESOLVED,2,0.2
FAM91A1,NDUFB9,-0.507782263564551,0.48914629692299627,UNRESOLVED,2,0.2
FBXO32,SNTB1,-0.3836426348192662,0.25567621399235807,UNRESOLVED,2,0.2
FER1L6,SLC45A4,-0.2511422737760125,0.21779133146573587,UNRESOLVED,2,0.2
GPR20,SLC30A8,0.5182605137266623,1.0679142257141727,POSITIVE,2,0.2
GSDMC,SLA,-0.6593732642456305,0.10144686340787079,UNRESOLVED,2,0.2
HAS2,SAMD12,-0.26657398977873614,0.11417751067006701,UNRESOLVED,2,0.2
HHLA1,RNF139,-0.35598280127718995,0.813485897816197,UNRESOLVED,2,0.2
KCNK9,RAD21,-0.6686114093953613,0.5206267056541372,UNRESOLVED,2,0.2
KCNQ3,PTK2,-0.4419205196033261,0.7428581517545201,UNRESOLVED,2,0.2
KHDRBS3,ST3GAL1,-0.1307799924222668,0.7553900335107767,UNRESOLVED,2,0.2
KLHL38,POU5F1B,-0.07615592864331255,0.9764584144829215,UNRESOLVED,2,0.2
LRRC6,PHF20L1,-0.4201928233658925,0.22422552478471092,UNRESOLVED,2,0.2
